"Variable","Overall","Rank"
"stratumID",0.00000000291239351585975,17
"scen",0.0000000154733528551977,9
"topo",0.000000000842221522357826,21
"precip",0.000000125656914202092,1
"rz_storage",0.0000000438954305780831,2
"trans",0.0000000265999674320375,4
"peak_swe",0.0000000287007830544935,3
"evap",0.0000000226097559487979,5
"tmin",0.0000000189715151754998,6
"summer_tavg",0.000000016535485205197,8
"plantc",0.0000000173907526075002,7
"spring_tavg",0.0000000150047428684629,10
"tmax",0.0000000118705931709082,11
"sat_deficit",0.00000000841878560683276,13
"fall_tavg",0.00000000741495594114233,14
"height",0.00000000701992507178641,15
"lai",0.00000000654272237844402,16
"elev",0.00000000210641969135295,19
"slope",0.00000000250882565564382,18
"aspect",0.00000000169895485641718,20
"winter_tavg",0.00000000942642720266022,12
